date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/12,15:38:08,兵庫県北部,35°28.4′N,134°31.1′E,10 km,2.7,震度１,35.47333333,134.5183333
2001/1/12,17:34:00,栃木県北部,36°38.3′N,139°26.4′E,9 km,2.6,震度１,36.63833333,139.44
2001/1/12,18:27:15,兵庫県北部,35°28.3′N,134°30.7′E,9 km,4.1,震度３,35.47166667,134.5116667
2001/1/12,18:29:37,兵庫県北部,35°28.2′N,134°30.8′E,10 km,2.8,震度１,35.47,134.5133333
2001/1/12,18:41:08,兵庫県北部,35°27.9′N,134°31.0′E,11 km,2.7,震度１,35.465,134.5166667
2001/1/12,18:47:20,兵庫県北部,35°28.3′N,134°30.5′E,10 km,2.9,震度１,35.47166667,134.5083333
2001/1/12,19:21:38,兵庫県北部,35°28.6′N,134°30.5′E,10 km,2.9,震度１,35.47666667,134.5083333
2001/1/12,21:17:18,兵庫県北部,35°28.1′N,134°30.9′E,10 km,2.8,震度１,35.46833333,134.515
2001/1/12,21:18:37,宮古島近海,24°13.1′N,125°11.1′E,11 km,4.3,震度１,24.21833333,125.185
2001/1/12,21:31:56,沖縄本島近海,27°28.7′N,128°34.7′E,54 km,3.8,震度１,27.47833333,128.5783333
2001/1/13,0:22:23,兵庫県北部,35°28.2′N,134°30.1′E,9 km,2.5,震度１,35.47,134.5016667
2001/1/13,0:42:57,兵庫県北部,35°28.1′N,134°31.1′E,10 km,2.6,震度１,35.46833333,134.5183333
2001/1/13,0:46:03,兵庫県北部,35°29.0′N,134°28.9′E,10 km,2.6,震度１,35.48333333,134.4816667
2001/1/13,1:02:22,兵庫県北部,35°28.6′N,134°29.0′E,9 km,2.1,震度１,35.47666667,134.4833333
2001/1/13,1:19:58,兵庫県北部,35°27.9′N,134°29.0′E,9 km,2.8,震度１,35.465,134.4833333
2001/1/13,2:08:44,千葉県北東部,35°43.6′N,140°42.3′E,48 km,3.3,震度１,35.72666667,140.705
2001/1/13,2:10:23,兵庫県北部,35°27.7′N,134°30.2′E,10 km,3.8,震度２,35.46166667,134.5033333
2001/1/13,2:51:51,兵庫県北部,35°28.0′N,134°30.0′E,10 km,3.2,震度１,35.46666667,134.5
2001/1/13,3:04:25,兵庫県北部,35°28.2′N,134°30.0′E,10 km,4,震度２,35.47,134.5
2001/1/13,3:05:49,兵庫県北部,35°28.0′N,134°31.2′E,8 km,3.9,震度１,35.46666667,134.52
2001/1/13,3:42:32,兵庫県北部,35°28.1′N,134°31.1′E,9 km,2.9,震度１,35.46833333,134.5183333
2001/1/13,4:06:56,兵庫県北部,35°29.6′N,134°28.4′E,10 km,3.8,震度２,35.49333333,134.4733333
2001/1/13,4:13:55,兵庫県北部,35°29.6′N,134°28.4′E,10 km,2.9,震度１,35.49333333,134.4733333
